text,label,dialect,type
اجل وجدتني ك أنني اعرفني منذ وقت طويل,0,standard,neutral
الله اعلم أنا كذلك تساءلت و سميتها طريق الحمام فقط,1,dialectal,neutral
حقا رواية رائعة جدا ليس لها وصف,0,standard,positive
صباح الخير ياعقيد,0,standard,positive
من غير ما تشرحي ليا احبيبة انا عارفة بانك لم تسيئ لهدا الانسان و اعرف انكي لا تعرفينه هو سوء ظن وسوء فهم حصل و لا رد لقضاء الله و الصراحة ليا نصيب في ما حصل و انا اعتدر للجميع,1,dialectal,positive
طبعا طبعا اكيد,0,standard,positive
والله مافهمت واش انا ف اوروبا و مافراسيش,1,dialectal,neutral
رسميا هاشم مستور ينضم الى فريق لاميا اليوناني,0,standard,neutral
خسارتك للبعض عز الربح,0,standard,mixed
صحيح,0,standard,positive
نعم ماذهب، فاتركيه يذهب,0,standard,positive
يخافو من العين الله يوفق الجميع,1,dialectal,mixed
صديق زيارة فلسطين ليست تطبيعا,0,standard,neutral
الأم هي الرحمة التي وهبها الله لنا,0,standard,positive
طقس جد بارد,0,standard,neutral
حمعتكم طيبة لا تنسو قراءة سورة الكهف,0,standard,positive
لقاء ضعيف جدا جدا,0,standard,negative
العثور على جثة في مقابر جماعية بالمكسيك,0,standard,neutral
ليت الشوق اللي وجعنا جمعنا,0,standard,negative
كن لمن يستحقك فقط,0,standard,neutral
شكرا لكم و أسعدكم,0,standard,positive
راك عزيزة وغالية والله,1,dialectal,positive
مؤلم أن تغار على شيء لم يعد ملكك,0,standard,negative
رحمها الله واسكنها فسيح جنانه,0,standard,positive
في موكب قهوتي أنت في صباحي ومسائي ما بين أضلعي تسكنين وما بين سطور كتابتي فأين أهرب منك وأنت كالبحر من أمامي ومن خلفي فهادا يعني أنني أحبك ولا يمكن للعيش من دونك يامن دعلتني أبوح بحبك ليلا ونهارا ومدا أفعل في غيابك يامن جعلتني لا أميز حتي بين الألف والباء أحبك حب جنون وسلام,0,standard,positive
اليقين إن العمر معك ألطف من الورد,0,standard,positive
الله يشافيه او يهون عليه الألم يا رب,1,dialectal,positive
اللهم إنك عفو تحب العفو فأعفو عنا,0,standard,positive
حبيبي أنا حنيت,0,standard,positive
الحمد لله فيها خير,0,standard,positive
عمرك تندم حيت درتي النية,1,dialectal,positive
استغفرالله واتوب اليه,0,standard,neutral
لا تعيش بعيدا عن الله ، وتطلب السعادة,0,standard,neutral
برنامج قديم و تافه,0,standard,negative
تماما و الله احسن,0,standard,positive
تحياتي من المغرب الله يحفظكم,0,standard,positive
تتسلم سيارات للنقل المدرسي,0,standard,neutral
مربوحة إنشاء الله,0,standard,positive
أكترمن رائعة,0,standard,positive
صباحكم عطر و ريحان,0,standard,positive
شكرا لك,0,standard,positive
أسوأ من المنافق ، ناكر المعروف,0,standard,negative
جمعية تحتفي بعاملات نظافة ومتفوقات في وزان,0,standard,neutral
هادشي اللي عطى مولانا,1,dialectal,neutral
للأسف كل شعاراتهم زائفة شتان بين قولهم وفعلهم,0,standard,negative
طبعا أضاعه,0,standard,negative
لا تجعلن رمضان شهر فكاهة تلهيك فيه من القبيح فنونه واعلم بأنك لاتنال قبوله حتى تكون تصومه وتصونه,0,standard,negative
القرآن نور أعظم تنوير للعقول,0,standard,positive
لباس عليك الحميقة ديالي والله ايلا توحشتك بزاف,1,dialectal,positive
هذا القرار الصائب نتمنى من الجامعة ان تستجيب,0,standard,positive
انا في الحب حمامة بيضاء متمردة تلقائية لا شرقية محضة و لا غربية,0,standard,positive
بزااف عليك مكاينش شي كلب قدك,1,dialectal,negative
جميلة في الحقيقة,0,standard,positive
اللهم أسعدنا في أبسط تفاصيل حياتنا وقرب لنا الخير حيث كان,0,standard,positive
فظيعين,0,standard,negative
ماتش ملعوب ف,1,dialectal,neutral
شي حد عارف سميت هاد الخير,1,dialectal,neutral
الرجل لا يحب المراة الضعيفة و لا يحبها قوية و لا يحب المرأة الجاهلة و لا يحبها مثقفة,0,standard,mixed
يحفظك ويسلم راسك ولد بلادي,0,standard,positive
الله ينجينا من هذه الاشكال التي بدات تنتشر كثيرا في مجتمعاتنا العتب على الاعلام الذي يستضيفهم ويجعلهم مشاهدون,0,standard,positive
لا تشغلي بالك راني غ ضاحك باش ما ضرك العين,1,dialectal,positive
فاشلة بشكل دريع و بنهاية مأساوية,0,standard,negative
التهيء النفسي من الاباء و كذلك ان يجدوا استقبالا رحبا من طرف معليمهم و اساتذتهم و ان يهيؤوا لهم ظروف تجعلهم يتأقلمون بسرعة مع اجواء الدراسة نفسيا دور المعلم اكبر بكثير من دور الاباء,0,standard,neutral
الله يفرح قلبك الطيب,0,standard,positive
الفرق بيننا وبينهم هو أننا نملك شيء اسمه سلطة الدين الخطاب الفقهي وهم لا,0,standard,neutral
وجهك الصبح الضحوك وبسمتك ضيه,0,standard,positive
منزلك في وسط قلبي ولا حولك أحد,0,standard,positive
رائعون من يهتمون ب صدق وما ٱقلهم,0,standard,positive
هداكشي تعياي ما تخممي فيه لكن دون جدوى الله يصبرنا و صافي,1,dialectal,negative
عن أبي موسى رضي الله عنه قال «خسفت الشمس فقام النبي صلى الله عليه وسلم فزعا يخشى أن تكون الساعة، فأتى المسجد فصلى بأطول قيام وركوع وسجود ما رأيته قط يفعله، وقال هذه الآيات التي يرسل الله لا تكون لموت أحد ولا لحياته، ولكن يخوف الله بها عباده،,0,standard,neutral
هو فصراحة صعيب تكوني مرا وتعيشي فديك لبلاد,1,dialectal,neutral
في نهاية الأمر الجميع سيخذلك فلا تتأمل بهم طويلا,0,standard,negative
حسابها جميل جدا,0,standard,positive
استودعناه الله,0,standard,positive
أجوبة قيمة جدا استفدت كثيرا والله مغسي كثير,1,dialectal,positive
الواحد هو لي يطلبها كبيرة,1,dialectal,neutral
هو كذالك أخي,0,standard,positive
لا نقول الا ما يرضي ربنا حسبنا الله و نعم الوكيل,0,standard,negative
لو أن الإنسان استغفر ربه اكثر مما يشتكي لوجد راحته قبل ان يشتكي,0,standard,neutral
وتلك الأماني التي خبأتها بقلبي وارتفعت إلى السماء أعلم أنك يا إلهي ستجعلها واقعا محققا يفرحني يوما,0,standard,positive
ماذا تتوقعين من بلادنا,0,standard,neutral
أول مرة كيموت لي واحد الإنسان كنعرفو غا من خلال النت إنسان عرفتو و عرفناه بالتغريدات و الرسائل ديالو إحساس مرون و مخربق و جديد عليا أنا شخصيا نتمناو ليه الرحمة و كنتمناو الصبر للعائلة ديالو الحياة قصيرة عيشوها فرحانين بالبساطة لي فيها و بزاف ديال الحب,1,dialectal,positive
تشبه الورد مثل ما يجمل الورد المكان أنت بضحكتك تجمل العمر الحزين,0,standard,positive
شموخي في مغربيتي و أصالتي في عروبتي و أمازغيتي في قوميتي و عزتي في اسلاميتي لا أ تطلع لغير هذا و لا أريد قناعات عنها لن أحيد ثوابت في أعماقي راسخة,0,standard,positive
ديرها ديرها اللهم بارك,1,dialectal,positive
في خدها قمر و في عينها ليل,0,standard,positive
صافي المسامحة,1,dialectal,positive
وأصبحت مغرم عيون وأمسيت وقلبي طريح,0,standard,positive
فعلا صدقت راحة وأمان,0,standard,positive
الخارجون من جيب تنظيم داعش الإرهابي سيل بشري لا ينتهي,0,standard,neutral
قهرتنا غير ببلاغات,1,dialectal,negative
وانتي من اهل الخير,0,standard,positive
هل عندك شك,0,standard,neutral
كلية بنمسيك تفتتح أول ماستر دولي متخصص في السياسات الثقافية والإدارة الثقافية,0,standard,neutral
المال لا يعني السعادة المال لا يعني راحة البال المال في جوهره هو ذلك القياس لخيارات المرء,0,standard,neutral
اللون الأصفر، يزيد من جمال الحياة,0,standard,positive
هدأت المساجد، وقلت الصفوف، ورجعت المصاحف إلى الرفوف، وبقيت هناك ثلة خفية نقية جعلت حياتها رمضانا دائما، مصاحفهم لا تعرف الغبار والهجران، خطاهم إلى المساجد لم تفتر، زادهم رمضان قوة فوق قوتهم أولئك الذين هدى الله فبهداهم اقتده,0,standard,neutral
وعايشة كأنها في جنة وكل الدنيا ملكاها,0,standard,positive
فكريني فاش تسالي قرايتك نعاود نسولك الله يوفق,1,dialectal,positive
الاتحاد الاشتراكي يرأس آيت بوبيدمان بالحاجب,0,standard,neutral
فعلا السبب الاول و الاخير فرنسا عرفتي كاينين شي دول افريقية هربت علينا من كل النواحي تفاجئت مؤخرا بتنزانيا اثيوبيا رواندا و شفت شي صور من الصومال اللي يقولو عنها ما عرفت اشنو و الله الى الناس كيخدمو,1,dialectal,neutral
ربي يبارك فيك ويسعدك ختي الكريمة,1,dialectal,positive
مثل القمر وجهك مع الليل وضاح سبحان من صور جمالك وتمه,0,standard,positive
كنحترم الرأي ديالك,1,dialectal,positive
القبيسي تزور ضريحي الملكين الراحلين بالرباط,0,standard,neutral
القادم اجمل حكاية تعانقنا بالامل,0,standard,positive
التخلف يزحف على كل القطاعات,0,standard,negative
لعل الله يجلب بعد هذا البعد قربا دائما,0,standard,positive
عقاب الله شديد وويلا من حسابا اقترب,0,standard,negative
الله ينتقم منه,0,standard,negative
واحد السؤال وما تديروهاش مني قلة الصواب واش بنكيران هو اللي زاد في ضريبة السيارات,1,dialectal,neutral
طالما أنك تتوجه إلي الله عز وجل بإستمرار فلسوف يفتح عليك أكثر مما تتخيل د إبراهيم الفقي رحمه الله,0,standard,positive
إذهب حيث تشعر بأنك على قيد الحياة,0,standard,positive
لا اعتقد انها مقصودة,0,standard,neutral
من أنتم فوق هذه الكرة الأرضية كل واحد وكيدير داكشي لي كيرتاح فيه,1,dialectal,neutral
ما اروعك,0,standard,positive
اللهم ما أصبح بي من نعمة أو باحد من خلقك فمنك وحدك لا شريك لك فلك الحمد ولك الشكر,0,standard,positive
قال أحدهم تضع علي وجا رطلا من مساحيق التجميل وتريد رجلا صادقا كوني صادقة مع وجهك أولا,0,standard,negative
شكرا لك بفضل توجيهاتك نسير على دربك,0,standard,positive
عيب والله اسم المقطع,0,standard,negative
النذرة هي لي كاتعطي قيمة للحاجة,1,dialectal,positive
كل منا له فقيد علمه معنى الرحيل,0,standard,negative
منظمة تدين استيلاء إسرائيل على أراض فلسطينية,0,standard,neutral
خاصم من شئت لكن لا تهين أبدا,0,standard,positive
اللهم ردني اليك ردا جميلا,0,standard,positive
جمعية تحذر من مساس التوترات بالحق في التعليم,0,standard,neutral
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,1,dialectal,positive
أتق شر الصابر إذا هجر,0,standard,negative
نهاركم مبروك واش غدا العيد الحباب ابن جرير,1,dialectal,positive
العفو أخي وإن شاء الله أقدم الفائدة ولو بقليل,0,standard,positive
لا تهمك شمسنا أنت الصباح,0,standard,positive
أشخاصنا اللطفاء لم تعد تصرفاتهم لطيفة للأسف,0,standard,negative
نت واعر بزاف سامو قدوتي,1,dialectal,positive
جودة غير مقبولة بتاتا,0,standard,negative
تريدين توريطي رأيك و يحترم انا قلت لو تم دمجهم كان أحسن عموما لقد تم اقرار المشروع و سنتعود على الاسماء لأنهم من هويتنا الاسلامية كما قلت,0,standard,neutral
سيدنا موسى عليه السلام تربى في قصر فرعون,0,standard,neutral
تصبحون على غد أفضل اعتنوا بأنفسكم وبأوطانكم فليس في الحياة شيء أهم من الأمن والأمان والصحة والعافية,0,standard,positive
جائزة احس لاعب في العالم اصبحت بلا طعم تغلب عليها العاطفة ل اعرف كيف يقيمون اللاعبا فرديا ام جماعيا ام ماديا,0,standard,negative
بسبب القرار الخاطئ تراجع مستواه,0,standard,negative
السي أنس هذا ما نريد تجاوزه أن نكون مغاربة فقط أن نعترف باختلافنا وأن يحترم كل منا خصوصية الأخر وأن يحل الوطن محل العرق أو او الأمازيغي على راسنا والعربي على راسنا في إطار أننا نشكل شعب واحد,1,dialectal,neutral
لا اخلاق ولا حياء,0,standard,negative
والصداع من الفوق حتى الليل حتى تبان ليهم الهضرة او مايسكتوش,1,dialectal,negative
صباحك ابرك احسن آية ف العالم,0,standard,positive
الله لا اله الا هو الرحمان الرحيم,0,standard,positive
إصنع لنفسك يوما جميلا رغم كل الظروف المحيطة بك,0,standard,positive
لم انتبه انك كنت تعانين كان كل شيء يبدو عاديا,0,standard,mixed
تكلم كي أرى من أنت,0,standard,neutral
اللهم إني أحمدك حمدا كثيرا وأشكرك شكرا كثيرا يليق بجلال وجهك وعظيم سلطانك,0,standard,positive
ستاغلو وقتكم فحوايج زوينين باش تكونو فرحانين,1,dialectal,positive
هذا شرع الله ومن لم يحكم بما أنزل الله فقد ظلم نسفه إن غضب الله لقريب,0,standard,negative
الجملتين الأخيرتين أفضل تعريف للزواج,0,standard,positive
الله المعين و الله ييسر الامور لكل واحد,1,dialectal,positive
والله كذب,0,standard,negative
ألف مبروك سوف تعيش لحظات نحسدك عليها إستمتع تستحق يا عمار,0,standard,positive
سمحو لينا و صافي,1,dialectal,positive
هو بصراحة قال الحق,1,dialectal,positive
سؤال في محله,0,standard,positive
هكذا مكتوبين و هكذا قريتهم خويا,1,dialectal,neutral
حزينة بزاف وصلت الحد الاقصى,1,dialectal,negative
الحمد لله يدي تستجيب للعلاج بسرعة اشكرك يارب,0,standard,positive
ومن ينسى تلك البطولة,0,standard,positive
ايوا نرجعوا الشك يقين,1,dialectal,neutral
أسعد الله صباحكم احبتي في الله,0,standard,positive
قلت نخليهم حتى يفوت هاد شهر الغفران,1,dialectal,neutral
صحيح الف تحية له,0,standard,positive
حتى انا دكالي,1,dialectal,neutral
اوا الله يجيب الخير,1,dialectal,positive
بالتوفيق ل قطر,0,standard,positive
وانا احبك يا انسة,0,standard,positive
قصدك من سفاهته و ليس ابداعاته,0,standard,negative
هل شعر يوما أنك كنت غبي لأنك كنت بمنتهي الصراحة,0,standard,mixed
من يخذلك مرة سيخذلك ألف مرة,0,standard,negative
عزة النفس ينتهي عندها ألف صديق و حبيب,0,standard,negative
اقول اولا انه تمت رواية تقول ان المعراج كان من مكة على البراق اما عن كونه من القدس لتبيين المسافة و لكي لا يشك المشركين في القصة و الله اعلم,0,standard,neutral
مضاهرة عمال سنطرال والوزير الداودي امام البرلمان مسرحية,0,standard,negative
فواحد الوقت حيث لا ينفع الندم,1,dialectal,negative
ممكن استشارة,0,standard,positive
المسألة فيها وجهيات رغم ذلك التعامل بالمثل ليس حلا,0,standard,neutral
و جمعتك طيبة اخي الكريم,0,standard,positive
حسب رأي أن حلول ريال مدريد أصبحت تتعلق بي المايسترو لوكا مودريتش,0,standard,positive
فيديو معبر و ان كان عاد عاقوا و فاقوا,1,dialectal,mixed
جعل من يقرا التغريده للجنه يارب,0,standard,positive
ضاع لك النص فحياتك,1,dialectal,negative
طالما لم تؤذي أحدا دع الجميع يتحدث وأفعل ما تشاء,0,standard,positive
متحف الفضاء والجمال الذي لا ينتهي,0,standard,positive
غمورتونا بطيبكم و ذوقكم الرفيع انتم منبع الكرم و المعدن الصافي حماكم الله و نصركم على من عاداكم و ايدكم بنصره و عزته,1,dialectal,positive
انا مسامح ليها,1,dialectal,positive
‌ اه ‌ ه,0,standard,neutral
بعكس نحن نحترم,0,standard,positive
ليست الطيبة غباء انما الطيبة نعمة فقدها الاغبياء,0,standard,mixed
اللي يطيح برغبته صعب يرقى,1,dialectal,negative
بالضبط,0,standard,positive
الى شفنا الجوهر د هاد الشروط غ نلقاوها كلها تهم و في مصلحة المنتخب و الاستمرارية كتبغي الهدوء و التركيز على العمل و اي واحد غ يخلق البلبلة الباب وسع من كتافو ما فينا اللي يبدا عاود من جديد ارا مدرب قلب على اللاعبين,1,dialectal,neutral
هذا من طيب اصلك يا ابن الاصول وباذن الواحد الاحد منصورين,0,standard,positive
تبقا السر بين قلبي و مكاتيبي يقرونك سطر و أنت بداخلي دنيا,0,standard,positive
نفس الملاحظة,0,standard,neutral
لصوص مصر يسجنون شرفاء مصر,0,standard,negative
شخص اختاره قلبك صعب تنساه,0,standard,positive
على هاد السلبية خاصك العصا بصح نيت,1,dialectal,negative
ياسلام على اخلاقك يافخر المغرب,0,standard,positive
اسخط كما تشاء,0,standard,negative
المخزن يسير بالوطن الى الهاوية,0,standard,negative
شاهد هدف الرجاء,0,standard,neutral
مايكون عندك باس,1,dialectal,positive
وسط ميدان ريال يلعب بشكل جيد جدا,0,standard,positive
تحياتي لك ونرجو لك الشفاء العاجل أكيد,0,standard,positive
مساء التوفيق,0,standard,positive
انتظر وقت الصلاة,0,standard,neutral
يا قريب ويا بعيد فيك أمسي و حاضري,0,standard,mixed
ها الرد المناسب من البداية,0,standard,positive
من المؤسف حقا أن تبحث عن الصدق في عصر الخيانة وتبحث عن الحب في قلوب جبانة,0,standard,negative
عيد أضحى مبارك ابن جرير,1,dialectal,positive
وإني مثل شجرة تم نقلها إلى مكان جديد,0,standard,neutral
اش وااقع,1,dialectal,neutral
جزاك الله خيرا وحفظك الله,0,standard,positive
تحذيرات من انهيار اتفاق السلام بجنوب السودان,0,standard,neutral
اللهم يا شافي يا معافي اشفيها واغرس في نبضاتها راحة وفي جسدها عافية لاتفارقها ابدا,0,standard,positive
نبنيوهم بتبرعات المحسنيين بحال جوامع الناس المحسنين كتار الحمد لله,1,dialectal,positive
اليوم غادي تسمعو واحد الكوڤر مفاجأة وجوه الخير شكون بغا يسمع ابن جرير,1,dialectal,positive
صعبة جد معقدة,0,standard,negative
لكن سلطة الشعب ستنتفض عما قريب,0,standard,positive
من اروع خلق الله,0,standard,positive
الزواج نصف الدين,0,standard,neutral
رائع برافو,1,dialectal,positive
الحياة أقصر من أن نضيعها بالإصغاء إلى ما يقوله الآخرين عنا,0,standard,neutral
بالصحة و الراحة الباك ما بقا كما كان كنت الى خديتي الباك ب عندو قيمة اما دبا النقط طلعو و المستوى عادي,1,dialectal,mixed
هاد الناس واعرين و بزاف,1,dialectal,positive
نصيحة من القلب إلى القلب إلى كانت عندك شحاجة فقلبك وبغيتي تقولها متخبيهاش الصراحة راحة,1,dialectal,positive
راه ماشي سهل باش يخاف منك بنادم,1,dialectal,neutral
لا عليك احيانا نحتاج ان نطلع اوجاعنا دموع و نخفف على ما بداخلنا من الم و حنين,0,standard,neutral
رؤساء ومنتخبون يفضلون متعة المونديال على مشاكل السكان,0,standard,neutral
أخي معتز نريد منك أن تسلط الضوء على معاناة,0,standard,neutral
لقد انتصر الشيطان يا سادة,0,standard,negative
سول فيك الخير,1,dialectal,positive
الصلاة على رسولنا عليه ازكى الصلاة و السلام ان الله و ملائكته يصلون على النبي ياأيها الذين آمنو صلو عليه و سلمو تسليما,0,standard,neutral
لو سمحت ممكن من وقتك سنين,0,standard,positive
هذه ليست مروءة الجاهلية بل همجية اكلي البشر,0,standard,negative
نسأل الله له الشفاء يا رب تشافيه,0,standard,positive
اختي سومية الغالية,0,standard,positive
ياغريب صرت من نفسي قريب عشت في دنيا هواك احلى عذاب,0,standard,mixed
اللهم أجعل حبك نورا لقلبي يا الله,0,standard,positive
يا جمالك,0,standard,positive
يغسلون كليته مرة خلال شهرين ويكاد يجن من الألم والمعافي تغسل كليته طبيعيا مرة يوميا دون أن يشعر الحمد لله على نعمة الصحة و العافية,0,standard,positive
الكل شاهد الفيديو الدي يظهر فيه رجل شرطةو هو يسب ويشتم المواطن الضعيف المقهور بكلمات مخلة بالاخلاق رغم توسل الاخير من تقبيل في اليد والحداء لكن الشرطي لم يبالي بدلك بل واصل السب رغم تدخل الحموشي كما قيل هل رايتم او سمعتم قدوم لجنة لمنزل المواطن لاجبار خاطره كما فعل مع التلميذة,0,standard,negative
أغرقتم الدول العربية بالديون,0,standard,negative
حطمت كل احلامي البريئه,0,standard,negative
تبا لما يمتلك وجهين لا تعرف أيهما القناع الحقيقي,0,standard,negative
في امان الله,0,standard,positive
و الله لن اسامحه على ظلمه لي دون وجه حق و في محكمة الله ساخد حقي منه و عند الله يجتمع الخصوم,0,standard,negative
تقرير أكثر من رائع بعنوان,0,standard,positive
اساءة البشر لا مثيل لها و لا يوجد في العالم وحشية بقدر وحشية البشر,0,standard,negative
بالشفاء ان شاء الله,0,standard,positive
اول ما اكتشفت في المجتمع العربي هو غياب العدالة الاجتماعية وهذا يعني غياب المبدأ الاساسي الذي يعتمد عليه الناس مما يؤدي الى الفوضى الرجل العربي له قيمتان واحدة في البيت واخرى في الحياة العامة الرجل العربي في البيت يلح على تعظيم نفسه ورفع قيمتها,0,standard,neutral
لا بصح نيت كاين اللي يستاهلو,1,dialectal,positive
السجدة التي يحضر فيها قلبك لا ترفع رأسك منها حتى تسد جوع روحك,0,standard,positive
اللهم آمنا في وأدم الأمن و في بلادنا وبلاد المسلمين يارب واحفظ مغربنا ومالكنا,0,standard,positive
تبقى في عيني لو انك بعيد,0,standard,mixed
الأشخاص الذين يعشقون البحر الشتاء القهوة الكتب العزلة الهدوء الموسيقى و الحيوانات الأليفة هم نفسهم الذين تطلق عليهم صفات الإنطوائيين الغامضين و يمكن حتى المعقدين أم أنني مخطئ,0,standard,neutral
ربي يدير تاويل دلخير,1,dialectal,positive
حدائق القشلة متنفس عراقي لاستقبال المثقفين,0,standard,neutral
هادشي ولامنتشر بكثرة,1,dialectal,neutral
معاك الليل لو طول ياحلوه,0,standard,positive
على راسي وعيني في أي وقت مرحبا,1,dialectal,positive
مرحبا بالجميع,0,standard,positive
اللهم صل وسلم وبارك على اشرف خلقك سيدنا محمد,0,standard,positive
جميل جدا أحسنت,0,standard,positive
بعيونك شفت العمر و بعيونك حبيت الحياة,0,standard,positive
كاينة,1,dialectal,positive
صباح يعزف املا بكل خير صباح التوكل على الله,0,standard,positive
راني مزال كنتهلا فيه,1,dialectal,neutral
